pattern,rate,model,task,tp,fp,fn,tn,precision,recall,f1,csi,n,event_rate
point,0.2,Linear,do_drop,12083,1211,1858,37174,0.9089,0.8667,0.8873,0.7975,52326,0.2664
point,0.2,Linear,tn_exceed,9456,279,236,6258,0.9713,0.9757,0.9735,0.9484,16229,0.5972
point,0.2,LOCF,do_drop,11632,1528,2309,36857,0.8839,0.8344,0.8584,0.752,52326,0.2664
point,0.2,LOCF,tn_exceed,9375,320,317,6217,0.967,0.9673,0.9671,0.9364,16229,0.5972
point,0.2,spatial_mean,do_drop,12632,6814,1309,31571,0.6496,0.9061,0.7567,0.6086,52326,0.2664
point,0.2,spatial_mean,tn_exceed,9648,6510,44,27,0.5971,0.9955,0.7465,0.5955,16229,0.5972
point,0.2,BRITS,do_drop,12073,3627,1868,34758,0.769,0.866,0.8146,0.6872,52326,0.2664
point,0.2,BRITS,tn_exceed,8378,1745,1314,4792,0.8276,0.8644,0.8456,0.7325,16229,0.5972
sensor,0.2,Linear,do_drop,0,0,516,1475,,0.0,,0.0,1991,0.2592
sensor,0.2,Linear,tn_exceed,0,0,2157,1605,,0.0,,0.0,3762,0.5734
sensor,0.2,LOCF,do_drop,0,0,516,1475,,0.0,,0.0,1991,0.2592
sensor,0.2,LOCF,tn_exceed,0,0,2157,1605,,0.0,,0.0,3762,0.5734
sensor,0.2,spatial_mean,do_drop,217,244,299,1231,0.4707,0.4205,0.4442,0.2855,1991,0.2592
sensor,0.2,spatial_mean,tn_exceed,2147,1600,10,5,0.573,0.9954,0.7273,0.5715,3762,0.5734
sensor,0.2,BRITS,do_drop,110,33,406,1442,0.7692,0.2132,0.3338,0.2004,1991,0.2592
sensor,0.2,BRITS,tn_exceed,1818,368,339,1237,0.8317,0.8428,0.8372,0.72,3762,0.5734
station,0.2,Linear,do_drop,0,0,2347,6797,,0.0,,0.0,9144,0.2567
station,0.2,Linear,tn_exceed,0,0,7019,3979,,0.0,,0.0,10998,0.6382
station,0.2,LOCF,do_drop,0,0,2347,6797,,0.0,,0.0,9144,0.2567
station,0.2,LOCF,tn_exceed,0,0,7019,3979,,0.0,,0.0,10998,0.6382
station,0.2,spatial_mean,do_drop,1268,1421,1079,5376,0.4716,0.5403,0.5036,0.3365,9144,0.2567
station,0.2,spatial_mean,tn_exceed,7015,3972,4,7,0.6385,0.9994,0.7792,0.6382,10998,0.6382
station,0.2,BRITS,do_drop,562,352,1785,6445,0.6149,0.2395,0.3447,0.2082,9144,0.2567
station,0.2,BRITS,tn_exceed,6100,1270,919,2709,0.8277,0.8691,0.8479,0.7359,10998,0.6382
