protocol,pattern,setting,rate,rho,rho_both_sides,n_eval,Linear_MAE,BRITS_MAE,delta_Linear_minus_BRITS,winner_105grid,Linear_admissible
maskview,point,point@10%,0.1,1.0,0.9335,73193,0.1512,0.4288,-0.2776,Linear,True
maskview,point,point@20%,0.2,0.9999,0.9238,146449,0.1606,0.4288,-0.2682,Linear,True
maskview,point,point@30%,0.3,0.9999,0.9126,219686,0.1714,0.4308,-0.2594,Linear,True
maskview,block_time,block_time@10%,0.1,0.9999,0.8958,84336,0.2638,0.4484,-0.1846,Linear,True
maskview,block_time,block_time@20%,0.2,0.9999,0.8782,155471,0.2518,0.4358,-0.184,Linear,True
maskview,block_time,block_time@30%,0.3,0.9995,0.879,228637,0.2458,0.4409,-0.1951,Linear,True
maskview,sensor,sensor@10%,0.1,0.0,0.0,16684,0.6802,0.4311,0.2491,BRITS,False
maskview,sensor,sensor@20%,0.2,0.0,0.0,27998,0.691,0.416,0.275,MaskView-ST,False
maskview,sensor,sensor@30%,0.3,0.0,0.0,39169,0.7159,0.4433,0.2726,BRITS,False
maskview,station,station@10%,0.1,0.0,0.0,65843,0.6871,0.437,0.2501,BRITS,False
maskview,station,station@20%,0.2,0.0,0.0,99778,0.6804,0.4408,0.2396,BRITS,False
maskview,station,station@30%,0.3,0.0,0.0,98726,0.6683,0.4257,0.2426,BRITS,False
maskview,mixed,mixed@10%,0.1,0.8347,0.7544,98839,0.2776,0.4354,-0.1578,Linear,True
maskview,mixed,mixed@20%,0.2,0.9034,0.8183,162334,0.2502,0.4313,-0.1811,Linear,True
maskview,mixed,mixed@30%,0.3,0.8872,0.7909,230605,0.263,0.4329,-0.1699,Linear,True
ecoinf_random,point,random_20pct,0.2,1.0,0.9252,146449,,,,Linear,True
ecoinf_random,point,random_40pct,0.4,0.9999,0.8981,292951,,,,Linear,True
ecoinf_random,point,random_60pct,0.6,0.9998,0.8477,439432,,,,Linear,True
ecoinf_random,point,random_80pct,0.8,0.9982,0.6989,585934,,,,Linear,True
ecoinf_week_gap,week_gap,1week,1.0,1.0,1.0,7066,,,,Linear,True
ecoinf_week_gap,week_gap,2week,2.0,1.0,1.0,14451,,,,Linear,True
ecoinf_week_gap,week_gap,3week,3.0,1.0,1.0,21300,,,,Linear,True
ecoinf_week_gap,week_gap,4week,4.0,1.0,1.0,28589,,,,Linear,True
