protocol,setting,model,MAE,RMSE,MAE_DO,n_eval,hide_rate_on_obs,source
year_shift_replay,2022_to_2024,Mean,0.7409,1.1974,0.8038,109732,0.1052,full_panel
year_shift_replay,2022_to_2024,LOCF,0.4951,1.2961,1.1346,109732,0.1052,full_panel
year_shift_replay,2022_to_2024,Linear,0.3828,1.0731,0.8187,109732,0.1052,full_panel
year_shift_replay,2022_to_2024,spatial_plus_l0,0.494,1.0619,0.6617,109732,0.1052,window_stitch_6day
mcar_matched_rate,2022_to_2024,Mean,0.6887,1.0642,0.7006,109732,0.1052,full_panel
mcar_matched_rate,2022_to_2024,LOCF,0.2169,0.6887,0.5335,109732,0.1052,full_panel
mcar_matched_rate,2022_to_2024,Linear,0.1675,0.5532,0.3947,109732,0.1052,full_panel
mcar_matched_rate,2022_to_2024,spatial_plus_l0,0.2969,0.7201,0.3937,109732,0.1052,window_stitch_6day
year_shift_replay,2023_to_2024,Mean,0.7623,1.2728,0.7642,36042,0.0346,full_panel
year_shift_replay,2023_to_2024,LOCF,0.403,1.1478,0.9139,36042,0.0346,full_panel
year_shift_replay,2023_to_2024,Linear,0.3284,0.9896,0.7341,36042,0.0346,full_panel
year_shift_replay,2023_to_2024,spatial_plus_l0,0.4739,1.1092,0.6137,36042,0.0346,window_stitch_6day
mcar_matched_rate,2023_to_2024,Mean,0.6871,1.0757,0.6948,36042,0.0346,full_panel
mcar_matched_rate,2023_to_2024,LOCF,0.1975,0.686,0.481,36042,0.0346,full_panel
mcar_matched_rate,2023_to_2024,Linear,0.1475,0.5381,0.3358,36042,0.0346,full_panel
mcar_matched_rate,2023_to_2024,spatial_plus_l0,0.2911,0.7312,0.3557,36042,0.0346,window_stitch_6day
