setting,best_model,MAE
block_time@10%,Linear,0.2638038694858551
block_time@20%,Linear,0.2517624497413635
block_time@30%,Linear,0.2458259910345077
mixed@10%,Linear,0.2776082158088684
mixed@20%,Linear,0.2502379715442657
mixed@30%,Linear,0.2630379498004913
point@10%,Linear,0.1512089520692825
point@20%,Linear,0.1606156826019287
point@30%,Linear,0.1714467406272888
sensor@10%,BRITS,0.4311473667621612
sensor@20%,MaskView-ST,0.4149273037910461
sensor@30%,BRITS,0.4433444142341614
station@10%,BRITS,0.4370495676994324
station@20%,BRITS,0.4408279657363891
station@30%,BRITS,0.425703763961792
