protocol,setting,model,MAE,RMSE,MAE_DO,n_eval,source
ecoinf_random,random_20pct,Mean,0.6853,1.0455,0.7033,146449.0,windowed_test
ecoinf_random,random_20pct,LOCF,0.2055,0.6786,0.5228,146449.0,windowed_test
ecoinf_random,random_20pct,Linear,0.1596,0.5372,0.3846,146449.0,windowed_test
ecoinf_random,random_20pct,spatial_plus_l0,0.2923,0.6951,0.39,146449.0,windowed_test
ecoinf_random,random_40pct,Mean,0.6865,1.0558,0.7038,292951.0,windowed_test
ecoinf_random,random_40pct,LOCF,0.2275,0.7277,0.5595,292951.0,windowed_test
ecoinf_random,random_40pct,Linear,0.1826,0.5956,0.4458,292951.0,windowed_test
ecoinf_random,random_40pct,spatial_plus_l0,0.3057,0.7236,0.4224,292951.0,windowed_test
ecoinf_random,random_60pct,Mean,0.6851,1.0522,0.7035,439432.0,windowed_test
ecoinf_random,random_60pct,LOCF,0.2475,0.7792,0.596,439432.0,windowed_test
ecoinf_random,random_60pct,Linear,0.2089,0.6572,0.5133,439432.0,windowed_test
ecoinf_random,random_60pct,spatial_plus_l0,0.3403,0.7488,0.4722,439432.0,windowed_test
ecoinf_random,random_80pct,Mean,0.6851,1.0531,0.7016,585934.0,windowed_test
ecoinf_random,random_80pct,LOCF,0.2749,0.8333,0.6225,585934.0,windowed_test
ecoinf_random,random_80pct,Linear,0.2422,0.7397,0.5679,585934.0,windowed_test
ecoinf_random,random_80pct,spatial_plus_l0,0.4079,0.804,0.5367,585934.0,windowed_test
ecoinf_week_gap,1week,Mean,0.6954,1.1001,0.6701,7072.0,full_panel_test_holes
ecoinf_week_gap,1week,LOCF,0.357,0.9205,0.601,7072.0,full_panel_test_holes
ecoinf_week_gap,1week,Linear,0.3109,0.9302,0.5027,7072.0,full_panel_test_holes
ecoinf_week_gap,1week,spatial_plus_l0,0.3495,0.8252,0.4194,7072.0,window_stitch_6day
ecoinf_week_gap,2week,Mean,0.6656,0.932,0.7147,14226.0,full_panel_test_holes
ecoinf_week_gap,2week,LOCF,0.3397,0.6791,0.7643,14226.0,full_panel_test_holes
ecoinf_week_gap,2week,Linear,0.2846,0.6756,0.6226,14226.0,full_panel_test_holes
ecoinf_week_gap,2week,spatial_plus_l0,0.3782,0.6672,0.468,14226.0,window_stitch_6day
ecoinf_week_gap,3week,Mean,0.7006,1.1003,0.7829,21356.0,full_panel_test_holes
ecoinf_week_gap,3week,LOCF,0.4161,0.9264,0.7875,21356.0,full_panel_test_holes
ecoinf_week_gap,3week,Linear,0.3406,0.8549,0.656,21356.0,full_panel_test_holes
ecoinf_week_gap,3week,spatial_plus_l0,0.4009,0.8444,0.4893,21356.0,window_stitch_6day
ecoinf_week_gap,4week,Mean,0.6784,1.0387,0.6278,28404.0,full_panel_test_holes
ecoinf_week_gap,4week,LOCF,0.475,0.9586,0.8232,28404.0,full_panel_test_holes
ecoinf_week_gap,4week,Linear,0.4017,0.9029,0.7008,28404.0,full_panel_test_holes
ecoinf_week_gap,4week,spatial_plus_l0,0.4266,0.8289,0.4168,28404.0,window_stitch_6day
maskview_operational,point,Linear,0.1611,,,,frozen_pattern_avg
maskview_operational,point,LOCF,0.2058,,,,frozen_pattern_avg
maskview_operational,point,Mean,0.6867,,,,frozen_pattern_avg
maskview_operational,point,BRITS,0.4295,,,,frozen_pattern_avg
maskview_operational,point,MaskView-ST,0.2969,,,,frozen_pattern_avg
maskview_operational,block_time,Linear,0.2538,,,,frozen_pattern_avg
maskview_operational,block_time,LOCF,0.2905,,,,frozen_pattern_avg
maskview_operational,block_time,Mean,0.6863,,,,frozen_pattern_avg
maskview_operational,block_time,BRITS,0.4417,,,,frozen_pattern_avg
maskview_operational,block_time,MaskView-ST,0.3261,,,,frozen_pattern_avg
maskview_operational,sensor,Linear,0.6957,,,,frozen_pattern_avg
maskview_operational,sensor,LOCF,0.6957,,,,frozen_pattern_avg
maskview_operational,sensor,Mean,0.6861,,,,frozen_pattern_avg
maskview_operational,sensor,BRITS,0.4302,,,,frozen_pattern_avg
maskview_operational,sensor,MaskView-ST,0.4413,,,,frozen_pattern_avg
maskview_operational,station,Linear,0.6786,,,,frozen_pattern_avg
maskview_operational,station,LOCF,0.6786,,,,frozen_pattern_avg
maskview_operational,station,Mean,0.6729,,,,frozen_pattern_avg
maskview_operational,station,BRITS,0.4345,,,,frozen_pattern_avg
maskview_operational,station,MaskView-ST,0.5386,,,,frozen_pattern_avg
maskview_operational,point,spatial_plus_l0,0.2946,,,,frozen_ablation
maskview_operational,block_time,spatial_plus_l0,0.3131,,,,frozen_ablation
maskview_operational,sensor,spatial_plus_l0,0.4209,,,,frozen_ablation
maskview_operational,station,spatial_plus_l0,0.5399,,,,frozen_ablation
